Data Year - Fiscal_19,Ticker Symbol,Company Name,Return on Sales_19,Data Year - Fiscal_20,Return on Sales_20
2019,AAL,AMERICAN AIRLINES GROUP INC,0.036837965390665965,2020,-0.512487742977447
2019,PNW,PINNACLE WEST CAPITAL CORP,0.15508141399725572,2020,0.1534880855270531
2019,ABT,ABBOTT LABORATORIES,0.11556544633901705,2020,0.12988326398520572
2019,AMD,ADVANCED MICRO DEVICES,0.05066112019016491,2020,0.25504455597664655
2019,ALK,ALASKA AIR GROUP INC,0.0875754469878146,2020,-0.3712843522153674
2019,HON,HONEYWELL INTERNATIONAL INC,0.16734315835353727,2020,0.14642889971504733
2019,HES,HESS CORP,-0.0628175519630485,2020,-0.6627383758302978
2019,AEP,AMERICAN ELECTRIC POWER CO,0.12345290269513026,2020,0.1474746120588531
2019,AXP,AMERICAN EXPRESS CO,0.14374734155678434,2020,0.08210030116537907
2019,AFL,AFLAC INC,0.14770441235638607,2020,0.21034558661677305
2019,AIG,AMERICAN INTERNATIONAL GROUP,0.06789697830054756,2020,-0.1370911942432769
2019,AME,AMETEK INC,0.1669647151325458,2020,0.192165953124969
2019,AMGN,AMGEN INC,0.3356733156407842,2020,0.2857142857142857
2019,ADI,ANALOG DEVICES,0.2275072962820467,2020,0.217874138684318
2019,APA,APA CORP,-0.5657643312101911,2020,-1.1538461538461537
2019,AMAT,APPLIED MATERIALS INC,0.1852409638554217,2020,0.2103825136612022
2019,ADM,ARCHER-DANIELS-MIDLAND CO,0.02132826033160109,2020,0.027534768083288013
2019,ADSK,AUTODESK INC,0.06551018538313533,2020,0.3187526382439848
2019,AVY,AVERY DENNISON CORP,0.04294140111172402,2020,0.07973893710105429
2019,BLL,BALL CORP,0.049328917552727905,2020,0.04965622612681436
2019,BK,BANK OF NEW YORK MELLON CORP,0.22197230969160794,2020,0.21351829988193624
2019,BAX,BAXTER INTERNATIONAL INC,0.08810068649885583,2020,0.09440589394328792
2019,VZ,VERIZON COMMUNICATIONS INC,0.14609306275972941,2020,0.13875378043837497
2019,BRK.B,BERKSHIRE HATHAWAY,0.24881197226356339,2020,0.14854186462467162
2019,BBY,BEST BUY CO INC,0.035313259086117606,2020,0.03804324827557023
2019,BIO,BIO-RAD LABORATORIES INC,0.7607847870295749,2020,1.5142366451389093
2019,BA,BOEING CO,-0.007498408356716735,2020,-0.20241748499727222
2019,RHI,ROBERT HALF INTL INC,0.07481078066229073,2020,0.05994832648267763
2019,BMY,BRISTOL-MYERS SQUIBB CO,0.1315356664754255,2020,-0.2120278470294934
2019,CI,CIGNA CORP,0.03320776322552522,2020,0.052791231837020024
2019,CSX,CSX CORP,0.2790483371031247,2020,0.26126807143532077
2019,CPB,CAMPBELL SOUP CO,0.02602689034168003,2020,0.18732021631572893
2019,CAT,CATERPILLAR INC,0.11325278810408922,2020,0.07181182332087764
2019,LUMN,LUMEN TECHNOLOGIES INC,-0.2352127137181376,2020,-0.05948242564696794
2019,JPM,JPMORGAN CHASE & CO,0.25579615508839926,2020,0.22494459587808777
2019,CVX,CHEVRON CORP,0.02090587352089515,2020,-0.05867409046162314
2019,CHD,CHURCH & DWIGHT INC,0.14133602588521468,2020,0.16052534825769024
2019,CTAS,CINTAS CORP,0.12364462422654804,2020,0.15611508162903964
2019,KO,COCA-COLA CO,0.23936027478130198,2020,0.23465802386866177
2019,CL,COLGATE-PALMOLIVE CO,0.15083158095966354,2020,0.16362090947726307
2019,AON,AON PLC,0.13910832652319985,2020,0.1779324055666004
2019,CMCSA,COMCAST CORP,0.11985276569183602,2020,0.10171488161909543
2019,CMA,COMERICA INC,0.31385905161121297,2020,0.15319974143503556
2019,C,CITIGROUP INC,0.18754168720818953,2020,0.12434434164021521
2019,DXC,DXC TECHNOLOGY CO,-0.2742503958727078,2020,-0.008404309323706921
2019,CAG,CONAGRA BRANDS INC,0.07599688811694891,2020,0.11612291791465125
2019,ED,CONSOLIDATED EDISON INC,0.10680769842532209,2020,0.08990690837824596
2019,CMS,CMS ENERGY CORP,0.09934258582907232,2020,0.11302395209580839
2019,COO,COOPER COS INC (THE),0.17588754051405742,2020,0.09807067341313916
2019,TAP,MOLSON COORS BEVERAGE CO,0.022846286178800308,2020,-0.09799365984118626
2019,GLW,CORNING INC,0.08345648961140573,2020,0.04488078541374474
2019,CMI,CUMMINS INC,0.09588053116117262,2020,0.09030336681641513
2019,DHR,DANAHER CORP,0.16795171709163592,2020,0.16361514988332435
2019,TGT,TARGET CORP,0.042003789430561246,2020,0.04668611921634014
2019,DE,DEERE & CO,0.08286209180294463,2020,0.07740574001125493
2019,DAL,DELTA AIR LINES INC,0.1014104282340928,2020,-0.7244808423515647
2019,DTE,DTE ENERGY CO,0.09227247612281948,2020,0.1123429416112343
2019,DG,DOLLAR GENERAL CORP,0.061704859336715503,2020,0.07867551683877712
2019,D,DOMINION ENERGY INC,0.08194545015689114,2020,-0.028295230031047135
2019,DOV,DOVER CORP,0.09499443486678222,2020,0.10225546698265647
2019,DD,DUPONT DE NEMOURS INC,0.02314986984008925,2020,-0.14467813894200127
2019,OMC,OMNICOM GROUP,0.08954974354173213,2020,0.0717783632346577
2019,DUK,DUKE ENERGY CORP,0.14944774512540374,2020,0.05732722731057452
2019,FLS,FLOWSERVE CORP,0.06430358568766874,2020,0.03120220464178594
2019,PKI,PERKINELMER INC,0.07891255353849067,2020,0.19242296268979273
2019,ETN,EATON CORP PLC,0.10336605890603086,2020,0.07895621010191511
2019,ECL,ECOLAB INC,0.10457994270878757,2020,-0.10221200658173736
2019,EFX,EQUIFAX INC,-0.11305136636806895,2020,0.12600847970926712
2019,EXPD,EXPEDITORS INTL WASH INC,0.07221580869302713,2020,0.06881246552037215
2019,XOM,EXXON MOBIL CORP,0.056107018072407006,2020,-0.1256621904644573
2019,FMC,FMC CORP,0.10356197665842334,2020,0.11880398957368432
2019,NEE,NEXTERA ENERGY INC,0.19626119558425328,2020,0.16219369894982497
2019,FDX,FEDEX CORP,0.018579250762096017,2020,0.06230421991686418
2019,FRT,FEDERAL REALTY INVESTMENT TR,0.3784493102983609,2020,0.1564155976181258
2019,FITB,FIFTH THIRD BANCORP,0.28224719101123596,2020,0.1700631629126445
2019,RF,REGIONS FINANCIAL CORP,0.23419689119170983,2020,0.1650075414781297
2019,MTB,M & T BANK CORP,0.2779244207689887,2020,0.21543040803317098
2019,USB,US BANCORP,0.25302836230558096,2020,0.19646606711303038
2019,F,FORD MOTOR CO,0.00030147530468248876,2020,-0.010059460139684138
2019,AJG,ARTHUR J GALLAGHER & CO,0.09295343988881166,2020,0.11691130275858129
2019,GPS,GAP INC,0.02142464750045779,2020,-0.04818840579710145
2019,GD,GENERAL DYNAMICS CORP,0.08853875476493012,2020,0.08350692155570204
2019,GE,GENERAL ELECTRIC CO,-0.05229273006070536,2020,0.07165375098908552
2019,GIS,GENERAL MILLS INC,0.12374479479877004,2020,0.12907817068461414
2019,GM,GENERAL MOTORS CO,0.049053826591954064,2020,0.052471731232395805
2019,GPC,GENUINE PARTS CO,0.032027394371117825,2020,-0.0017597652549824387
2019,GWW,GRAINGER (W W) INC,0.07391607173950897,2020,0.058913283038060524
2019,HAL,HALLIBURTON CO,-0.05047304534094966,2020,-0.2038767739702319
2019,HAS,HASBRO INC,0.11026037518958304,2020,0.04071380856044057
2019,WELL,WELLTOWER INC,0.23867042105140848,2020,0.21289010336058936
2019,KHC,KRAFT HEINZ CO,0.07747127357168596,2020,0.013595569982814588
2019,HSY,HERSHEY CO,0.1439588933582361,2020,0.156902096869843
2019,HPQ,HP INC,0.053645585131731226,2020,0.05021275093133706
2019,HLT,HILTON WORLDWIDE HOLDINGS,0.09320778671180703,2020,-0.1660088228465289
2019,HFC,HOLLYFRONTIER CORP,0.04417033452743012,2020,-0.05377925600808252
2019,HD,HOME DEPOT INC,0.10199138126559311,2020,0.09738853985315267
2019,HRL,HORMEL FOODS CORP,0.10306131721200841,2020,0.09450856963372495
2019,CNP,CENTERPOINT ENERGY INC,0.06430371514511016,2020,-0.10420598544081963
2019,JBHT,HUNT (JB) TRANSPRT SVCS INC,0.05633447525426999,2020,0.052511925141852815
2019,HBAN,HUNTINGTON BANCSHARES,0.250177304964539,2020,0.15612459392317982
2019,ITW,ILLINOIS TOOL WORKS,0.17868027500177192,2020,0.16772705582948944
2019,TT,TRANE TECHNOLOGIES PLC,0.08499960840778606,2020,0.06864075409283242
2019,INTC,INTEL CORP,0.2924755089279511,2020,0.26839354283586114
2019,IBM,INTL BUSINESS MACHINES CORP,0.1222471385795948,2020,0.07593045368106492
2019,IFF,INTL FLAVORS & FRAGRANCES,0.08868979573096471,2020,0.07144196014388782
2019,IP,INTL PAPER CO,0.054746156596353235,2020,0.023420796890184645
2019,IPG,INTERPUBLIC GROUP OF COS,0.06417970316887285,2020,0.038748482507449514
2019,JNJ,JOHNSON & JOHNSON,0.1842454819093579,2020,0.17817010558946042
2019,KMI,KINDER MORGAN INC,0.16579604814898932,2020,0.010170940170940172
2019,KSU,KANSAS CITY SOUTHERN,0.18803210048848568,2020,0.2343690648028565
2019,EVRG,EVERGY INC,0.1301332608104433,2020,0.12583954084747834
2019,K,KELLOGG CO,0.07070260715863898,2020,0.09084967320261438
2019,KMB,KIMBERLY-CLARK CORP,0.11691056910569106,2020,0.12288401253918495
2019,KR,KROGER CO,0.01356655708748344,2020,0.019509728448731303
2019,LEG,LEGGETT & PLATT INC,0.07023671751709627,2020,0.057847764123171816
2019,LLY,LILLY (ELI) & CO,0.3726965209794126,2020,0.25239407004132064
2019,LNC,LINCOLN NATIONAL CORP,0.05140403805987468,2020,0.028940958125507482
2019,LMT,LOCKHEED MARTIN CORP,0.10415970039456965,2020,0.10448331753264625
2019,L,LOEWS CORP,0.06339704781987619,2020,-0.06829017824396684
2019,LOW,LOWE'S COS INC,0.059336364140378114,2020,0.06512494837996807
2019,MRO,MARATHON OIL CORP,0.09617311160088159,2020,-0.4516028633675693
2019,HST,HOST HOTELS & RESORTS INC,0.16681776971894832,2020,-0.45807259073842305
2019,MMC,MARSH & MCLENNAN COS,0.10461205861157818,2020,0.11704598235020901
2019,MAS,MASCO CORP,0.13910839421499926,2020,0.16986644407345575
2019,MCD,MCDONALD'S CORP,0.2858823808507105,2020,0.24628015701954414
2019,SPGI,S&P GLOBAL INC,0.3169129720853859,2020,0.31429723192690134
2019,MCK,MCKESSON CORP,0.003895243907189322,2020,-0.019053175949090787
2019,CVS,CVS HEALTH CORP,0.02583574788921083,2020,0.026747491607643843
2019,MRK,MERCK & CO,0.21014090520922288,2020,0.1472475726132433
2019,MU,MICRON TECHNOLOGY INC,0.2697171665384944,2020,0.12535572661534872
2019,ETR,ENTERGY CORP,0.11566153335062096,2020,0.1390847960120376
2019,MMM,3M CO,0.14220811550908638,2020,0.1672880934625901
2019,MSI,MOTOROLA SOLUTIONS INC,0.1100545200963611,2020,0.1280010790396547
2019,VTRS,VIATRIS INC,0.0014608060519107865,2020,-0.05607734806629834
2019,BAC,BANK OF AMERICA CORP,0.24148465080245446,2020,0.1908632257101106
2019,NWL,NEWELL BRANDS INC,0.010972835541281948,2020,-0.08204581779435269
2019,NEM,NEWMONT CORP,0.2879876796714579,2020,0.24606419065843263
2019,NKE,NIKE INC  -CL B,0.06788225543405609,2020,0.12858682473393507
2019,NSC,NORFOLK SOUTHERN CORP,0.24097025495750707,2020,0.2056389825314128
2019,ES,EVERSOURCE ENERGY,0.10661539886963774,2020,0.1353446542900556
2019,NI,NISOURCE INC,0.07354719806485055,2020,-0.003759318196381657
2019,XEL,XCEL ENERGY INC,0.11900425015179114,2020,0.1277980218636127
2019,NTRS,NORTHERN TRUST CORP,0.21641455526388303,2020,0.19191887130818427
2019,NOC,NORTHROP GRUMMAN CORP,0.06642829703613959,2020,0.086659963585967
2019,WFC,WELLS FARGO & CO,0.1908094443305711,2020,0.041106807964833195
2019,NUE,NUCOR CORP,0.056273008577945816,2020,0.03582334913532296
2019,OXY,OCCIDENTAL PETROLEUM CORP,-0.0327073015250331,2020,-0.8327811780560391
2019,FE,FIRSTENERGY CORP,0.08264612596284548,2020,0.1
2019,OKE,ONEOK INC,0.12579012544509657,2020,0.07173866064670141
2019,PNC,PNC FINANCIAL SVCS GROUP INC,0.24828893821679615,2020,0.41041506954331397
2019,PPG,PPG INDUSTRIES INC,0.08202454797413224,2020,0.07651181273029406
2019,PCAR,PACCAR INC,0.09327843685668191,2020,0.06932749552820568
2019,SRE,SEMPRA ENERGY,0.20297349709114415,2020,0.345910290237467
2019,PAYX,PAYCHEX INC,0.2717732953842346,2020,0.27053342535988956
2019,PPL,PPL CORP,0.22473934869352555,2020,0.19311160772972263
2019,PNR,PENTAIR PLC,0.12028269985121061,2020,0.11882828550599775
2019,PEP,PEPSICO INC,0.10890248805110109,2020,0.10117660433126811
2019,PFE,PFIZER INC,0.3144541062801932,2020,0.22945499665934904
2019,EXC,EXELON CORP,0.08525466054939311,2020,0.05941463119343806
2019,MO,ALTRIA GROUP INC,-0.06531622550010104,2020,0.21433712393839066
2019,COP,CONOCOPHILLIPS,0.2207449258451807,2020,-0.14379258943781942
2019,PVH,PVH CORP,0.04211323039660914,2020,-0.15928273000028037
2019,PEG,PUBLIC SERVICE ENTRP GRP INC,0.16802302500992458,2020,0.19837550765385817
2019,PHM,PULTEGROUP INC,0.0995500127925732,2020,0.12747630907418048
2019,ROL,ROLLINS INC,0.10089274151974942,2020,0.12068368791700985
2019,ROST,ROSS STORES INC,0.10355511194443719,2020,0.006813354916165699
2019,SLB,SCHLUMBERGER LTD,-0.3079563751253152,2020,-0.44565908224227785
2019,SEE,SEALED AIR CORP,0.05489344826866481,2020,0.10256567139827051
2019,SHW,SHERWIN-WILLIAMS CO,0.08610229710404005,2020,0.11057799659072962
2019,AOS,SMITH (A.O.),0.12363417649614061,2020,0.1191240976755431
2019,SNA,SNAP-ON INC,0.17048946579147922,2020,0.15904824717163007
2019,KEY,KEYCORP,0.22316090460098778,2020,0.18304484121575576
2019,EIX,EDISON INTERNATIONAL,0.11379282416781404,2020,0.06414788628664016
2019,SO,SOUTHERN CO,0.22195247210420654,2020,0.1538159509202454
2019,LUV,SOUTHWEST AIRLINES,0.10255038344925986,2020,-0.33974358974358976
2019,T,AT&T INC,0.07669985932198714,2020,-0.030135072193758734
2019,SWK,STANLEY BLACK & DECKER INC,0.06618105274819625,2020,0.08488709699613337
2019,STT,STATE STREET CORP,0.17074099459294798,2020,0.20036429872495445
2019,PSA,PUBLIC STORAGE,0.5163443703931601,2020,0.4497227862664221
2019,SYK,STRYKER CORP,0.13994893845740392,2020,0.11142080691241028
2019,TFX,TELEFLEX INC,0.17780409823369533,2020,0.13216530635089052
2019,TER,TERADYNE INC,0.20369286677574602,2020,0.25121088820680265
2019,TXN,TEXAS INSTRUMENTS INC,0.3488145727595078,2020,0.38690270382407854
2019,TXT,TEXTRON INC,0.05979457079970653,2020,0.026521328641318342
2019,TMO,THERMO FISHER SCIENTIFIC INC,0.14470284237726097,2020,0.19787075547830404
2019,GL,GLOBE LIFE INC,0.16803636064858293,2020,0.1544295676635599
2019,TYL,TYLER TECHNOLOGIES INC,0.13487054353398803,2020,0.17446624451602677
2019,UAL,UNITED AIRLINES HOLDINGS INC,0.06955777988395478,2020,-0.46037121458808206
2019,AEE,AMEREN CORP,0.1401015228426396,2020,0.15032792544011045
2019,UNP,UNION PACIFIC CORP,0.2726644555002764,2020,0.27384426355398556
2019,UDR,UDR INC,0.14168460401234803,2020,0.05075168820871796
2019,UNH,UNITEDHEALTH GROUP INC,0.057149346492948734,2020,0.05990098817380348
2019,UPS,UNITED PARCEL SERVICE INC,0.059923880476151915,2020,0.015869452190764285
2019,RTX,RAYTHEON TECHNOLOGIES CORP,0.07186615787970822,2020,-0.06218742820789227
2019,UHS,UNIVERSAL HEALTH SVCS INC,0.07161499839298789,2020,0.08469062651485115
